brand,domain,email_pattern,char_sequence
amazon,amazon.com,@amazon.com,amazon
amazon,amazon.co.uk,@email.amazon.com,amazon
amazon,amazon.de,,amazon
apple,apple.com,@apple.com,apple
apple,icloud.com,@id.apple.com,apple
microsoft,microsoft.com,@microsoft.com,microsoft
microsoft,outlook.com,@accountprotection.microsoft.com,microsoft
microsoft,hotmail.com,,microsoft
microsoft,live.com,,microsoft
google,google.com,@google.com,google
google,gmail.com,@accounts.google.com,google
paypal,paypal.com,@paypal.com,paypal
paypal,paypal.com,@mail.paypal.com,paypal
facebook,facebook.com,@facebook.com,facebook
facebook,fb.com,@facebookmail.com,facebook
facebook,meta.com,@meta.com,facebook
netflix,netflix.com,@netflix.com,netflix
netflix,netflix.com,@mailer.netflix.com,netflix
stripe,stripe.com,@stripe.com,stripe
stripe,stripe.com,@email.stripe.com,stripe
github,github.com,@github.com,github
github,github.io,@noreply.github.com,github
dropbox,dropbox.com,@dropbox.com,dropbox
dropbox,dropbox.com,@dropboxmail.com,dropbox
canva,canva.com,@canva.com,canva
canva,canva.com,@mail.canva.com,canva
canva,canva.com,@noreply.canva.com,canva
outlook,outlook.com,@outlook.com,outlook
outlook,outlook.live.com,@hotmail.com,outlook
zoom,zoom.us,@zoom.us,zoom
zoom,zoom.com,@zoom.com,zoom
slack,slack.com,@slack.com,slack
slack,slack.com,@slack-corp.com,slack
adobe,adobe.com,@adobe.com,adobe
adobe,adobe.com,@adobeid.adobe.com,adobe
linkedin,linkedin.com,@linkedin.com,linkedin
linkedin,linkedin.com,@e.linkedin.com,linkedin
uber,uber.com,@uber.com,uber
spotify,spotify.com,@spotify.com,spotify
twitter,twitter.com,@twitter.com,twitter
twitter,x.com,@x.com,twitter
instagram,instagram.com,@instagram.com,instagram
instagram,instagram.com,@mail.instagram.com,instagram
